timestamp_utc,original_timestamp,message,source_url,source_type,sentiment,sentiment_score,topic
2026-05-02 19:47:00,"May 2, 2026 3:47 PM","I will soon be reviewing the plan that Iran has just sent to us, but can't imagine that it would be acceptable in that they have not yet paid a big enough price for what they have done to Humanity, and the World, over the last 47 years. Thank you for your attention to this matter! President DONALD J. TRUMP",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-2-2026,Truth Social,positive,0.7704,Iran war/Oil
2026-05-02 20:09:00,"May 2, 2026 4:09 PM","So ironic that Cryin' Chuck Schumer and the Democrats are hiring SLEAZEBAGS like Barack Hussein Obama's Crooked former Attorney General, Eric Holder, and others of that ilk, to look into Voter Integrity, when this same group of Human Garbage RIGGED the 2020 Presidential Election. GET TOUGH REPUBLICANS — THEY'RE COMING, AND THEY'RE COMING FAST! They're no good for our Country, they almost destroyed it, and we don't want to let that happen again! These are highly dishonest people who are, in many ways, treasonous, in that they are trying to destabilize the United States of America in what, some would call, a War. Republicans must TERMINATE THE FILIBUSTER, and approve all of the necessary Safeguards we need for Elections to protect the American Public during the upcoming Midterms. MAKE AMERICA GREAT AGAIN! President DONALD J. TRUMP",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-2-2026,Truth Social,negative,-0.6623,Federal politics
2026-05-02 20:12:00,"May 2, 2026 4:12 PM","I hate seeing Fox, and other Conservative Outlets, constantly making Low Rated Bill Maher ""relevant"" as it pertains to the Republican Party, and beyond. Bill Maher is a weak and ineffective person who I got to know very well during my dinner with him at the White House. He was nervous, scared, and the first words he uttered as he entered the Oval Office were, ""Can I have a drink?"" It was very endearing but, at the same time, absolutely pathetic. He was much different from what people think but, last night, I happened to watch Gavin Newscum, an admittedly Low IQ person, who said he can't read a speech, is dumb, and essentially, incompetent, and he took Bill Maher ""over the coals."" Bill Maher was defenseless, and totally deficient. Either he didn't have the knowledge, or he choked, because Gavin went on and on about how good California is doing, while it's doing very poorly, having, by far, the worst year it's ever had where, for the first time in History, more people are leaving than coming. Bill Maher started by saying that California was doing poorly, only to have Newscum speak for an extended period of time, and lie about the facts. All you have to do is look at what's happened to Los Angeles, San Francisco, the horrendous homeless problem all over every street, the Railway catastrophe that is Billions of Dollars over budget, and has never been built, the inability to rebuild the 25,000 homes that were destroyed by the fire because he refused to allow water into the street from the Southwest (If it weren't for our Superstar EPA Administrator Lee Zeldin, and me, they wouldn't have any homes being built right now!). Fox should stop putting this person on. He's not representing us. You look weak, stupid, and ineffective, and I hate seeing that. DON'T USE BILL MAHER ANY LONGER AS A REPRESENTATIVE OF YOU! I hate hearing that ""Bill Maher said…"" — Bill Maher is a MORON, though slightly more talented than Jimmy Kimmel. President DONALD J. TRUMP",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-2-2026,Truth Social,negative,-0.998,Federal politics
2026-05-01 12:50:00,"May 1, 2026 8:50 AM","I am pleased to announce that, based on the fact the European Union is not complying with our fully agreed to Trade Deal, next week I will be increasing Tariffs charged to the European Union for Cars and Trucks coming into the United States. The Tariff will be increased to 25%. It is fully understood and agreed that, if they produce Cars and Trucks in U.S.A. Plants, there will be NO TARIFF. Many Automobile and Truck Plants are currently under construction, with over 100 Billion Dollars being invested, A RECORD in the History of Car and Truck Manufacturing. These Plants, staffed with American Workers, will be opening soon — There has never been anything like what is happening in America today! Thank you for your attention to this matter. President DONALD J. TRUMP",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,positive,0.8253,Tariffs
2026-05-01 12:54:00,"May 1, 2026 8:54 AM","WE JUST DELIVERED A HUGE WIN for our Great Fishermen and Anglers in FLORIDA, GEORGIA, SOUTH CAROLINA, and NORTH CAROLINA! We have just officially approved ALL STATE PERMITS for the 2026 Red Snapper recreational season. For years, our Great Fishermen have been punished with VERY short Federal fishing seasons despite RECORD HIGH fish populations and the States begging to oversee these permits. The incompetent Biden Administration tried to SHUT DOWN THE OCEANS to our Fishermen, entirely. We love and respect our Fishermen and, unlike the Democrats, will only do good for them. To all those who fish ""Red Snapper"" — TRUMP and NOAA are delivering for you. ENJOY!! President DONALD J. TRUMP",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,positive,0.983,Federal politics
2026-05-01 17:56:00,"May 1, 2026 1:56 PM",Video: https://1a-1791.com/video/fww1/7f/s8/2/8/2/a/k/82akA.caa.mp4?b=1&u=ummtf,https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,neutral,0.0,Miscellaneous
2026-05-01 19:43:00,"May 1, 2026 3:43 PM","I had a great meeting with Mr. Nate Morris, of Kentucky, yesterday. Nate is a terrific businessman and strong MAGA Warrior. I will be making an Endorsement for U.S. Senate in Kentucky shortly, but I've asked Nate to step aside from that Race to take a role in my Administration as an Ambassador. Nate is Oxford educated, tough as nails, LOVES our Great Nation, and will represent the United States very well, overseas, or otherwise. He has a great future in politics, or anything else he chooses to do. We will be announcing Nate's new role soon. Stay tuned for my important Endorsement for Senate in Kentucky. It will be a big one, and straight from the heart. Republicans must win the Senate! President DONALD J. TRUMP",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,positive,0.9927,Federal politics
2026-05-01 19:59:00,"May 1, 2026 3:59 PM","Proven Political Winner Andy Barr is running for the United States Senate in the Great Commonwealth of Kentucky, a place I love and WON BIG, six times, including Primaries, in 2016, 2020, and 2024!
I know Andy well, and he is always a Vote we can count on because he knows what it takes to GET THINGS DONE and, MAKE AMERICA GREAT AGAIN! I Endorsed Andy years ago, in his first Race, and all others, for Congress, and he never let me down — He is a 100% solid American Patriot! Andy Barr is a Strong Supporter of TERMINATING THE FILIBUSTER, before the Democrats do it (which they will, on Day One, if they get control of the U.S. Senate!). He will do everything in his power to get it done. It is desperately needed by the Republican Party to pass the SAVE AMERICA ACT, and all other things necessary for a strong and brilliant Country! In the Senate, Andy will fight tirelessly to Grow our Economy, Cut Taxes and Regulations, Champion the Interests of our Amazing Farmers and Ranchers, Promote MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our Border SECURE, Stop Migrant Crime, Strengthen our Military/Veterans, Safeguard our Elections, and Defend our always under siege Second Amendment.
Andy is the only Candidate who will easily defeat the Democrat in what will be one of the most important Elections in American History. He will help ensure Victory against these Radical Left, Country Destroying, THUGS. Andy Barr has my Complete and Total Endorsement to be the next United States Senator from Kentucky – HE WILL NEVER LET YOU DOWN!",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,positive,0.9967,Federal politics
2026-05-01 20:01:00,"May 1, 2026 4:01 PM","It is my Great Honor to endorse America First Patriot, Ralph Alvarado, M.D., who is running to represent the incredible people of Kentucky's 6th Congressional District.
A true friend to MAGA, Ralph was a featured Speaker at the 2016 Republican National Convention, and a Member of the National Hispanic Advisory Council for ""TRUMP"" – RALPH HAS BEEN WITH US FROM THE VERY BEGINNING! A very successful Family Physician, and former Kentucky State Senator, Ralph has dedicated his life to serving his Community. As your next Congressman, Ralph will fight tirelessly to Grow the Economy, Promote our Amazing Farmers and Ranchers, Advance American Energy DOMINANCE, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Keep our Border SECURE, Stop Migrant Crime, Support our Brave Military/Veterans, and Protect our always under siege Second Amendment.
Dr. Ralph Alvarado has my Complete and Total Endorsement to be the next Representative from Kentucky's 6th Congressional District — HE WILL NEVER LET YOU DOWN!",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,positive,0.9909,Federal politics
2026-05-01 20:01:00,"May 1, 2026 4:01 PM","To the Great Patriots in Indiana's 1st State Senate District: PLEASE GET OUT AND VOTE for a fantastic Candidate, Trevor De Vries, a successful Businessman, and REAL Republican, who has my Complete and Total Endorsement. Early Voting ends May 4th, and Election Day is May 5th, in this very important Republican Primary for SD-1 – You can win this Election for Trevor!
Unlike incumbent Dan Dernulc, a ""RINO"" LOSER, who has failed the incredible people of Indiana so badly, TREVOR DE VRIES IS A WINNER WHO WILL NOT LET YOU DOWN. GET OUT AND VOTE FOR TREVOR DE VRIES BY MAY 5TH!
Find your Voting Location at: swampthevoteusa.com/indiana/",https://www.presidency.ucsb.edu/documents/truth-social-posts-may-1-2026,Truth Social,positive,0.947,Federal politics
